Item;Category
Milk;Dairy products
Yogurt;Dairy products
Quark;Dairy products
Cheese;Dairy products
Cream;Dairy products
Butter;Dairy products
Eggs;Dairy products
Cream cheese;Dairy products
Mozzarella;Dairy products
Feta;Dairy products
Gouda;Dairy products
Cheddar;Dairy products
Parmesan;Dairy products
Ricotta;Dairy products
Mascarpone;Dairy products
Sour cream;Dairy products
Buttermilk;Dairy products
Kefir;Dairy products
Pudding;Dairy products
Curd cheese;Dairy products
Condensed milk;Dairy products
Sour cream;Dairy products
Sliced ​​cheese;Dairy products
Spread cheese;Dairy products
Cream;Dairy products
Margarine;Dairy products
Apple;Fruits & Vegetables
Banana;Fruits & Vegetables
Orange;Fruits & Vegetables
Lemon;Fruits & Vegetables
Pear;Fruits & Vegetables
Grapes;Fruits & Vegetables
Strawberry;Fruits & Vegetables
Raspberry;Fruits & Vegetables
Blueberry;Fruits & Vegetables
Cherry;Fruits & Vegetables
Plum;Fruits & Vegetables
Peach;Fruits & Vegetables
Apricot;Fruits & Vegetables e
Mango;Fruits & Vegetables
Pineapple;Fruits & Vegetables
Kiwi;Fruits & Vegetables
Melon;Fruits & Vegetables
Avocado;Fruits & Vegetables
Fig;Fruits & Vegetables
Date;Fruits & Vegetables
Tomato;Fruits & Vegetables
Cucumber;Fruits & Vegetables
Lettuce;Fruits & Vegetables
Carrot;Fruits & Vegetables
Onion;Fruits & Vegetables
Potato;Fruits & Vegetables
Broccoli;Fruits & Vegetables
Spinach;Fruits & Vegetables
Pepper;Fruits & Vegetables
Mushroom e;Fruits & Vegetables
Garlic;Fruits & Vegetables
Zucchini;Fruits & Vegetables
Eggplant;Fruits & Vegetables
Leek;Fruits & Vegetables
Asparagus;Fruits & Vegetables
Brussels Sprouts;Fruits & Vegetables
Savoy Cabbage;Fruits & Vegetables
Cauliflower;Fruits & Vegetables
Kale;Fruits & Vegetables
Red Cabbage;Fruits & Vegetables
White Cabbage;Fruits & Vegetables
Kohlrabi;Fruits & Vegetables
Radish;Fruits & Vegetables
Radish;Fruits & Vegetables
Sell Series;Fruit & Vegetables
Ginger;Fruit & Vegetables
Sweet Potato;Fruit & Vegetables
Corn;Fruit & Vegetables
Peas;Fruit & Vegetables
Beans;Fruit & Vegetables
Pumpkin;Fruit & Vegetables
Mushrooms;Fruit & Vegetables
Snow Peas;Fruit & Vegetables
Spring Onions;Fruit & Vegetables
Endive;Fruit & Vegetables
Lamb's Lettuce;Fruit & Vegetables
Rhubarb;Fruit & Vegetables
Artichoke;Fruit & Vegetables
Cress;Fruit &Vegetables
Parsley;Fruit & Vegetables
Chives;Fruit & Vegetables
Dill;Fruit & Vegetables
Mint;Fruit & Vegetables
Basil;Fruit & Vegetables
Thyme;Fruit & Vegetables
Rosemary;Fruit & Vegetables
Oregano;Fruit & Vegetables
Bread;Baked Goods
Rolls;Baked Goods
Toast;Baked Goods
Croissant;Baked Goods
Cake;Baked Goods
Pastries;Baked Goods
Baguette;Baked Goods
Toast;Baked Goods aren
Wholemeal bread;baked goods
Rye bread;baked goods
Crispbread;baked goods
Rusk;baked goods
Muffin;baked goods
Donut;baked goods
Waffles;baked goods
Pancakes;baked goods
Cookies;baked goods
Yeast dough;baked goods
Pizza dough;baked goods
Puff pastry;baked goods
Flatbread;baked goods
Ciabatta;baked goods
Pretzel;baked goods
Pretzel stick;baked goods
Rye rolls;baked goods
Bread roll;baked goods
Focaccia;baked goods
Cinnamon roll;baked goods
Muesli;breakfast
Oatmeal;breakfast
Cornflakes;breakfast
Honey;breakfast
Jam;breakfast
Nutella;breakfast
Maple syrup;breakfast
Agave syrup;breakfast
Cereals;breakfast
Granola;breakfast
Porridge;breakfast
Chocolate Cream;Breakfast
Fruit spread;Breakfast
Peanut butter;Breakfast
Spread;Breakfast
Coffee;Drinks
Tea;Drinks
Water;Drinks
Juice;Drinks
Cola;Drinks
Lemonade;Drinks
Beer;Drinks
Wine;Drinks
Sparkling wine;Drinks
Prosecco;Drinks
Soft drink;Drinks
Mineral water;Drinks
Apple spritzer;Drinks
Iced tea;Drink Drinks
Cocoa drink;Beverages
Smoothie;Beverages
Energy drink;Beverages
Apple juice;Beverages
Orange juice;Beverages
Grape juice;Beverages
Vegetable juice;Beverages
Multivitamin;Beverages
Sparkling water;Beverages
Still water;Beverages
Meat;Meat & Sausage
Sausage;Meat & Sausage
Ham;Meat & Sausage
Chicken;Meat & Sausage
Beef Meat & Sausage
Minced Meat;Meat & Sausage
Salami;Meat & Sausage
Sausage;Meat & Sausage
Poultry;Meat & Sausage
Turkey;Meat & Sausage
Veal;Meat & Sausage
Lamb;Meat & Sausage
Game;Meat & Sausage
Bacon;Meat & Sausage
Bacon;Meat & Sausage
Boiled Ham;Meat & Sausage
Tea Sausage;Meat & Sausage
Liver Sausage;Meat & Sausage
Bratwurst;Meat & Sausage
Wiener;Meat & Sausage
Fish;Fish & Seafood
Salmon;Fish & Seafood
Tuna;Fish & Seafood
Shrimp;Fish & Seafood
Sardines;Fish & Seafood
Herring;Fish & Seafood
Mackerel;Fish & Seafood
Matjes;Fish & Seafood
Seafood;Fish & Seafood
Crabs;Fish & Seafood
Mussels;Fish & Seafood
Calamares;Fish & Seafood
Trout;Fish & Seafood
Pasta;Staple Food
Rice;Staple Food
Flour;Staple Food
Sugar;Staple Food
Salt;Staple Food
Pepper;Staple Food
Oil;Staple Food
Vinegar;Staple Food
Spices;Staple Food Food
Lentils;staple food
Canned tomatoes;staple food
Passata;staple food
Millet;staple food
Bulgur;staple food
Couscous;staple food
Polenta;staple food
Semolina;staple food
Quinoa;staple food
Rye;staple food
Spelt;staple food
Chickpeas;staple food
Kidney beans;staple food
White beans;staple food
Coconut milk;staple food
Broth;staple food
Soup;staple food
Spaghetti;staple food
Macaroni;staple food
Fusilli;staple food
Penne;staple food
Tagliatelle pasta;Staples
Lasagna;Staples
Potatoes;Staples
Ketchup;Sauces & Dips
Mayo;Sauces & Dips
Mustard;Sauces & Dips
Pesto;Sauces & Dips
