Artículo;Categoría
Leche; productos lácteos
Yogur; Productos lácteos
Quark;Productos lácteos
Queso; Productos lácteos
Crema;Productos lácteos
Mantequilla;Productos lácteos
Huevos; Productos lácteos
Queso crema; Productos lácteos
Mozzarella;Productos lácteos
Feta; Productos lácteos
Gouda; productos lácteos
Cheddar;Productos lácteos
Parmesano; productos lácteos
Ricotta;Productos lácteos
Mascarpone; productos lácteos
CCrea agria; productos lácteos
Suero de leche; Productos lácteos
Kéfir; productos lácteos
Pudín; Productos lácteos
cuajada; productos lácteos
Leche condensada; productos lácteos
CCrea agria; Productos lácteos
Queso semiduro; productos lácteos
Queso para untar; productos lácteos
Crema;Productos lácteos
Margarina;Productos lácteos
Manzana; Frutas y verduras
Banana; Frutas y verduras
Naranja; Frutas y verduras
Limón;Frutas y verduras
Pera; Frutas y verduras
Uvas; Frutas y verduras
Fresa; Frutas y verduras
Frambuesa; Frutas y verduras
Arándano; Frutas y verduras
Cereza;Frutas y verduras
Ciruela; Frutas y verduras
Melocotón;Frutas y verduras
Albaricoque;Frutas y verduras
Mango; Frutas y verduras
Piña; Frutas y verduras
Kiwi; Frutas y verduras
Melón;Frutas y verduras
Palta; Frutas y verduras
Higos;Frutas y verduras
Fecha; Frutas y verduras
Tomate; Frutas y verduras
Pepino;Frutas y verduras
Ensalada; Frutas y verduras
Zanahoria; Frutas y verduras
Cebolla; Frutas y verduras
Papa; Frutas y verduras
Brócoli; Frutas y verduras
Espinaca; Frutas y verduras
Pimientos; Frutas y verduras
Hongos; Frutas y verduras
Ajo; Frutas y verduras
Calabacín; Frutas y verduras
Berenjena; Frutas y verduras
Puerro; Frutas y verduras
Espárragos; Frutas y verduras
Coles de Bruselas; Frutas y verduras
col de Saboya; Frutas y verduras
Coliflor; Frutas y verduras
Col rizada; Frutas y verduras
Col lombarda; Frutas y verduras
repollo blanco; Frutas y verduras
Colinabo; Frutas y verduras
Rábano; Frutas y verduras
Rábanos; Frutas y verduras
Apio; Frutas y verduras
Jengibre; Frutas y verduras
Batata; Frutas y verduras
Maíz; Frutas y verduras
Guisantes; Frutas y verduras
Frijoles; Frutas y verduras
Calabaza; Frutas y verduras
Hongos; Frutas y verduras
Guisantes dulces; Frutas y verduras
Cebolleta; Frutas y verduras
Endibia; Frutas y verduras
lechuga de cordero; Frutas y verduras
Ruibarbo; Frutas y verduras
Alcachofa; Frutas y verduras
Berro; Frutas y verduras
Perejil; Frutas y verduras
cebollino; Frutas y verduras
Eneldo; Frutas y verduras
Menta; Frutas y verduras
Albahaca; Frutas y verduras
Tomillo; Frutas y verduras
Romero; Frutas y verduras
Orégano; Frutas y verduras
Pan; Productos horneados
rollos; productos horneados
Tostadas; Productos horneados
Cuerno; productos horneados
Tortas; productos horneados
Pasteles; productos horneados
Junquillo; productos horneados
Pan tostado; productos horneados
Pan integral; productos horneados
Pan de centeno; productos horneados
pan crujiente; productos horneados
galletas tostadas; productos horneados
muffin; productos horneados
Dona; Productos horneados
Gofres; productos horneados
Panqueques; productos horneados
galletas; productos horneados
masa de levadura; productos horneados
Masa de pizza; productos horneados
Hojaldre; productos horneados
Pan plano; Productos horneados
Ciabatta; productos horneados
Galleta salada; productos horneados
palito de pretzel; productos horneados
panecillos de centeno; productos horneados
rollo; productos horneados
Focaccia; productos horneados
rollo de canela; productos horneados
cereal; desayuno
Avena; desayuno
Copos de maíz; desayuno
Miel;Desayuno
atasco; desayuno
Nutella; desayuno
jarabe de arce; desayuno
jarabe de agave; desayuno
cereales; desayuno
Granola;Desayuno
Papilla; Desayuno
crema de chocolate; desayuno
Pasta de frutas; desayuno
Manteca de cacahuete; desayuno
desparramar; desayuno
Café; Bebidas
Té; Bebidas
Agua; Bebidas
Jugos;Bebidas
Reajuste salarial; Bebidas
Limonada; Bebidas
Cerveza; Bebidas
Vino; Bebidas
Vino espumoso; bebidas
Prosecco; Bebidas
refresco; Bebidas
Agua mineral; bebidas
Spritz de manzana; bebidas
Té helado; bebidas
bebida de cacao;bebidas
Batido;Bebidas
Bebida energética; Bebidas
Zumo de manzana; Bebidas
Zumo de naranja; bebidas
Jugo de uva; Bebidas
Jugo de verduras; Bebidas
Multivitamínico;Bebidas
Agua con gas; Bebidas
Agua sin gas; Bebidas
Carne; Carne y salchichas
Salchicha;Carne y salchicha
Jamón; Carne y salchichas
Pollo; Carne y salchichas
Carne de res; Carne y salchichas
Carne picada; carne y salchichas
Salami; Carne y salchichas
Salchichas; Carne y salchichas
Aves de corral; Carne y salchichas
Pavo; Carne y salchichas
Ternera; Carne y salchichas
Cordero; Carne y salchichas
Juego; Carne y salchichas
Tocino; Carne y salchichas
Tocino; Carne y salchichas
Jamón cocido; carne y salchichas
Salchicha de té; carne y salchichas
salchicha de hígado; carne y salchichas
Bratwurst;Carne y salchichas
